symbol,window_size,window_start,window_end,vwap,trade_volume,trade_count,avg_spread,avg_mid,ticker_count,event_count,window_key
BTC-USD,1m,2026-06-22 23:06:00+00:00,2026-06-22 23:07:00+00:00,63893.78352426904,3.928605079999999,346,0.028877887788586774,63899.90998349855,303,649,BTC-USD|1m|1782169560
BTC-USD,1m,2026-06-22 23:07:00+00:00,2026-06-22 23:08:00+00:00,63889.427504295636,4.370759029999999,295,0.06376712328608547,63887.39839041084,292,587,BTC-USD|1m|1782169620
BTC-USD,1m,2026-06-22 23:08:00+00:00,2026-06-22 23:09:00+00:00,63921.288420472505,2.3402733700000002,259,0.0805980066462413,63922.86023255814,301,560,BTC-USD|1m|1782169680
BTC-USD,1m,2026-06-22 23:09:00+00:00,2026-06-22 23:10:00+00:00,63936.08377393793,1.4392918799999999,226,0.06381481481520394,63936.14546296315,270,496,BTC-USD|1m|1782169740
BTC-USD,1m,2026-06-22 23:10:00+00:00,2026-06-22 23:11:00+00:00,63920.43380600198,2.4197745499999996,280,0.14333333333316955,63926.1528136201,279,559,BTC-USD|1m|1782169800
BTC-USD,1m,2026-06-22 23:11:00+00:00,2026-06-22 23:12:00+00:00,63921.07465471352,4.39466565,260,0.08963235294207633,63916.53720588206,272,532,BTC-USD|1m|1782169860
BTC-USD,1m,2026-06-22 23:12:00+00:00,2026-06-22 23:13:00+00:00,63913.53991830107,0.4128230800000001,159,0.2356650246303096,63917.57261083743,203,362,BTC-USD|1m|1782169920
ETH-USD,1m,2026-06-22 23:06:00+00:00,2026-06-22 23:07:00+00:00,1722.9185858430526,16.303905620000002,74,0.01236842105262033,1723.1449342105277,152,226,ETH-USD|1m|1782169560
ETH-USD,1m,2026-06-22 23:07:00+00:00,2026-06-22 23:08:00+00:00,1722.6088324916752,42.26234841,133,0.017176470588250434,1722.6711176470587,170,303,ETH-USD|1m|1782169620
ETH-USD,1m,2026-06-22 23:08:00+00:00,2026-06-22 23:09:00+00:00,1723.8499984671828,25.25075705,126,0.021238095238101908,1723.761666666667,210,336,ETH-USD|1m|1782169680
ETH-USD,1m,2026-06-22 23:09:00+00:00,2026-06-22 23:10:00+00:00,1723.9604862138058,3.44527424,44,0.018197674418631724,1723.9350290697691,172,216,ETH-USD|1m|1782169740
ETH-USD,1m,2026-06-22 23:10:00+00:00,2026-06-22 23:11:00+00:00,1723.5781906053685,49.15202105,117,0.024916201117311017,1723.5214525139686,179,296,ETH-USD|1m|1782169800
ETH-USD,1m,2026-06-22 23:11:00+00:00,2026-06-22 23:12:00+00:00,1723.4003673849318,30.07563794,68,0.025923913043465804,1723.481603260871,184,252,ETH-USD|1m|1782169860
ETH-USD,1m,2026-06-22 23:12:00+00:00,2026-06-22 23:13:00+00:00,1723.4754315996468,0.80650344,45,0.021065573770481964,1723.4418442622944,122,167,ETH-USD|1m|1782169920
SOL-USD,1m,2026-06-22 23:06:00+00:00,2026-06-22 23:07:00+00:00,71.92160972987884,176.38951779,85,0.010489130434782645,71.9528532608697,184,269,SOL-USD|1m|1782169560
SOL-USD,1m,2026-06-22 23:07:00+00:00,2026-06-22 23:08:00+00:00,71.96960321674041,304.80973675,65,0.012137404580149553,71.95011450381679,131,196,SOL-USD|1m|1782169620
SOL-USD,1m,2026-06-22 23:08:00+00:00,2026-06-22 23:09:00+00:00,71.99102550757047,139.20629960000002,68,0.01113095238095097,72.01205357142858,168,236,SOL-USD|1m|1782169680
SOL-USD,1m,2026-06-22 23:09:00+00:00,2026-06-22 23:10:00+00:00,72.02069033314979,288.57566302,60,0.010882352941174829,72.00544117647075,136,196,SOL-USD|1m|1782169740
SOL-USD,1m,2026-06-22 23:10:00+00:00,2026-06-22 23:11:00+00:00,71.94987487263082,558.75585299,77,0.011268656716418267,71.96764925373124,134,211,SOL-USD|1m|1782169800
SOL-USD,1m,2026-06-22 23:11:00+00:00,2026-06-22 23:12:00+00:00,71.95295576102191,165.46617042999998,71,0.010875000000001567,71.95231250000008,160,231,SOL-USD|1m|1782169860
SOL-USD,1m,2026-06-22 23:12:00+00:00,2026-06-22 23:13:00+00:00,71.95692112106191,52.86319494000001,30,0.010315789473683055,71.95599999999989,95,125,SOL-USD|1m|1782169920
BTC-USD,5m,2026-06-22 23:05:00+00:00,2026-06-22 23:10:00+00:00,63902.57670992322,12.078929360000002,1126,0.059056603773672764,63911.09198970861,1166,2292,BTC-USD|5m|1782169500
BTC-USD,5m,2026-06-22 23:10:00+00:00,2026-06-22 23:15:00+00:00,63920.42970484594,7.227263279999999,699,0.14881962864741635,63920.37399867389,754,1453,BTC-USD|5m|1782169800
ETH-USD,5m,2026-06-22 23:05:00+00:00,2026-06-22 23:10:00+00:00,1723.0792234230182,87.26228532000003,377,0.01759943181819165,1723.407521306817,704,1081,ETH-USD|5m|1782169500
ETH-USD,5m,2026-06-22 23:10:00+00:00,2026-06-22 23:15:00+00:00,1723.5103318045526,80.03416243000002,230,0.024329896907206557,1723.4863092783535,485,715,ETH-USD|5m|1782169800
SOL-USD,5m,2026-06-22 23:05:00+00:00,2026-06-22 23:10:00+00:00,71.97978942097176,908.98121716,278,0.011098546042001839,71.97989499192265,619,897,SOL-USD|5m|1782169500
SOL-USD,5m,2026-06-22 23:10:00+00:00,2026-06-22 23:15:00+00:00,71.95101023074493,777.0852183599999,178,0.01087403598971771,71.95849614395884,389,567,SOL-USD|5m|1782169800
